Disease,Medication
የፈንገስ ኢንፌክሽን, ['Antifungal Cream'፣ 'Fluconazole'፣ 'Terbinafine'፣ 'Clotrimazole'፣ 'Ketoconazole']
አለርጂ,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']"
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']"
ሥር የሰደደ ኮሌስትሮል,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']"
የመድሃኒት ምላሽ,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']"
Peptic ulcer disease,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']"
AIDS,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']"
የስኳር በሽታ,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
የጨጓራ እጢ (gastroenteritis).,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']"
ብሮንካይያል አስም,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']"
የደም ግፊት,"['Antihypertensive መድሃኒትs', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']"
ማይግሬን,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive መድሃኒትs', 'Biofeedback']"
የማኅጸን ጫፍ ስፖንዶሎሲስ,"['Pain relievers', 'Muscle ዘና በልants', 'Physical therapy', 'Neck braces', 'Corticosteroids']"
ሽባ (የአንጎል ደም መፍሰስ),"['Blood thinners', 'Clot-dissolving መድሃኒትs', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']"
አገርጥቶትና,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral መድሃኒትs']"
ወባ,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']"
የዶሮ ፐክስ,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']"
ዴንጊ,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']"
ታይፎይድ,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
ሄፓታይተስ ኤ,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
ሄፓታይተስ ቢ,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
ሄፓታይተስ ሲ,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
ሄፓታይተስ ዲ,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
ሄፓታይተስ ኢ,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']"
የአልኮል ሄፓታይተስ,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']"
የሳንባ ነቀርሳ በሽታ,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']"
የጋራ ቅዝቃዜ,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']"
የሳንባ ምች,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']"
ዲሞርፊክ ሄሞሮይድስ (ክምር),"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']"
የልብ ድካም,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']"
የ varicose ደም መላሽ ቧንቧዎች,"['Levothyroxine', 'Antithyroid መድሃኒትs', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']"
ሃይፖታይሮዲዝም,"['Antithyroid መድሃኒትs', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']"
ሃይፐርታይሮዲዝም,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']"
ሃይፖግላይሴሚያ,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']"
የአርትሮሲስ በሽታ,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']"
አርትራይተስ,"['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for ማቅለሽለሽ', 'Surgery', 'Home የአካል ብቃት እንቅስቃሴ ማድረግs']"
(vertigo) Paroymsal Positional Vertigo,"['Topical treatments', 'Antibiotics', 'Oral መድሃኒትs', 'Hormonal treatments', 'Isotretinoin']"
ብጉር,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']"
የሽንት ቧንቧ ኢንፌክሽን,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']"
Psoriasis,"['Topical treatments', 'Phototherapy', 'Systemic መድሃኒትs', 'Biologics', 'Coal tar']"
ኢምፔቲጎ,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']"
