,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,የመድሃኒት ምላሽ,መበሳጨት ማቆም,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,ዕፅ መውሰድ አቁም,መከታተል
1,ወባ,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,ዘይት ምግብን ያስወግዱ,ዘይት ምግብን ያስወግዱ,ትንኞች እንዳይወጡ ያድርጉ
2,አለርጂ,ካላሚን ይተግብሩ,የሽፋን ቦታ በፋሻ,rt,ማሳከክን ለመጭመቅ በረዶ ይጠቀሙ
3,ሃይፖታይሮዲዝም,ጭንቀትን ይቀንሱ,የአካል ብቃት እንቅስቃሴ ማድረግ,ጤናማ መብላት,ትክክለኛ እንቅልፍ ያግኙ
4,Psoriasis,እጅን በሞቀ የሳሙና ውሃ ይታጠቡ,ግፊትን በመጠቀም የደም መፍሰስን ያቁሙ,ሐኪም ያማክሩ,የጨው መታጠቢያዎች
5,GERD,የሰባ ቅመም ምግቦችን ያስወግዱ,ከተመገቡ በኋላ ከመተኛት ይቆጠቡ,ጤናማ ክብደትን መጠበቅ,የአካል ብቃት እንቅስቃሴ ማድረግ
6,ሥር የሰደደ ኮሌስትሮል,ቀዝቃዛ መታጠቢያዎች,ፀረ-ማሳከክ መድሃኒት,ሐኪም ያማክሩ,ጤናማ መብላት
7,ሄፓታይተስ ኤ,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,እጅን መታጠብ,የሰባ ቅመም ምግቦችን ያስወግዱ,መድሃኒት
8,የአርትሮሲስ በሽታ,አሴታሚኖፌን,በአቅራቢያው የሚገኘውን ሆስፒታል ማማከር,መከታተል,የጨው መታጠቢያዎች
9,(vertigo) Paroymsal  Positional Vertigo,ተኛ,በሰውነት ውስጥ ድንገተኛ ለውጦችን ያስወግዱ,ድንገተኛ የጭንቅላት እንቅስቃሴን ያስወግዱ,ዘና በል
10,ሃይፖግላይሴሚያ,ተኛ on side,በ pulse ውስጥ ያረጋግጡ,ጣፋጭ መጠጦችን ይጠጡ,ሐኪም ያማክሩ
11,ብጉር,ሁለት ጊዜ መታጠብ,የሰባ ቅመም ምግቦችን ያስወግዱ,ብዙ ውሃ ይጠጡ,ብዙ ውሃ ይጠጡ
