,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
0,የፈንገስ ኢንፌክሽን,እከክ,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,dischromic _patches
1,የፈንገስ ኢንፌክሽን,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,dischromic _patches,
2,የፈንገስ ኢንፌክሽን,እከክ,ኖዳል_ቆዳ_ፍንዳታዎች,dischromic _patches,
3,የፈንገስ ኢንፌክሽን,እከክ,የቆዳ_ሽፍታ,dischromic _patches,
4,የፈንገስ ኢንፌክሽን,እከክ,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,
5,የፈንገስ ኢንፌክሽን,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,dischromic _patches,
6,የፈንገስ ኢንፌክሽን,እከክ,ኖዳል_ቆዳ_ፍንዳታዎች,dischromic _patches,
7,የፈንገስ ኢንፌክሽን,እከክ,የቆዳ_ሽፍታ,dischromic _patches,
8,የፈንገስ ኢንፌክሽን,እከክ,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,
9,የፈንገስ ኢንፌክሽን,እከክ,የቆዳ_ሽፍታ,ኖዳል_ቆዳ_ፍንዳታዎች,dischromic _patches
10,አለርጂ,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ብርድ ብርድ ማለት,ከዓይን_ማጠጣት
11,አለርጂ,መንቀጥቀጥ,ብርድ ብርድ ማለት,ከዓይን_ማጠጣት,
12,አለርጂ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ከዓይን_ማጠጣት,
13,አለርጂ,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ከዓይን_ማጠጣት,
14,አለርጂ,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ብርድ ብርድ ማለት,
15,አለርጂ,መንቀጥቀጥ,ብርድ ብርድ ማለት,ከዓይን_ማጠጣት,
16,አለርጂ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ከዓይን_ማጠጣት,
17,አለርጂ,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ከዓይን_ማጠጣት,
18,አለርጂ,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ብርድ ብርድ ማለት,
19,አለርጂ,የማያቋርጥ_ማስነጠስ,መንቀጥቀጥ,ብርድ ብርድ ማለት,ከዓይን_ማጠጣት
20,GERD,የሆድ_ህመም,አሲድነት,በምላስ_ላይ_ቁስል,ማስታወክ
21,GERD,የሆድ_ህመም,በምላስ_ላይ_ቁስል,ማስታወክ,ሳል
22,GERD,የሆድ_ህመም,አሲድነት,ማስታወክ,ሳል
23,GERD,የሆድ_ህመም,አሲድነት,በምላስ_ላይ_ቁስል,ሳል
24,GERD,የሆድ_ህመም,አሲድነት,በምላስ_ላይ_ቁስል,ማስታወክ
25,GERD,የሆድ_ህመም,አሲድነት,በምላስ_ላይ_ቁስል,ማስታወክ
26,GERD,አሲድነት,በምላስ_ላይ_ቁስል,ማስታወክ,ሳል
27,GERD,የሆድ_ህመም,በምላስ_ላይ_ቁስል,ማስታወክ,ሳል
28,GERD,የሆድ_ህመም,አሲድነት,ማስታወክ,ሳል
29,GERD,የሆድ_ህመም,አሲድነት,በምላስ_ላይ_ቁስል,ሳል
30,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
31,ሥር የሰደደ ኮሌስትሮል,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
32,ሥር የሰደደ ኮሌስትሮል,እከክ,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
33,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
34,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,የምግብ ፍላጎት_ማጣት
35,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
36,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
37,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
38,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
39,ሥር የሰደደ ኮሌስትሮል,እከክ,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
40,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,የሆድ_ህመም,ሚኪቱሪሽን ማቃጠል
41,የመድሃኒት ምላሽ,እከክ,የሆድ_ህመም,ሚኪቱሪሽን ማቃጠል,ነጠብጣብ_ሽንት
42,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,ሚኪቱሪሽን ማቃጠል,ነጠብጣብ_ሽንት
43,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,የሆድ_ህመም,ነጠብጣብ_ሽንት
44,የመድሃኒት ምላሽ,እከክ,የቆዳ_ሽፍታ,የሆድ_ህመም,ሚኪቱሪሽን ማቃጠል
45,የመድሃኒት ምላሽ,የቆዳ_ሽፍታ,የሆድ_ህመም,ሚኪቱሪሽን ማቃጠል,ነጠብጣብ_ሽንት
