,Unnamed: 0,disease,workout
0,0,የፈንገስ ኢንፌክሽን,ጣፋጭ ምግቦችን ያስወግዱ
1,1,የፈንገስ ኢንፌክሽን,ፕሮባዮቲኮችን ይጠቀሙ
2,2,የፈንገስ ኢንፌክሽን,ነጭ ሽንኩርት መጠጣትን ይጨምሩ
3,3,የፈንገስ ኢንፌክሽን,በአመጋገብ ውስጥ እርጎን ያካትቱ
4,4,የፈንገስ ኢንፌክሽን,የተዘጋጁ ምግቦችን ይገድቡ
5,5,የፈንገስ ኢንፌክሽን,እርጥበት ይኑርዎት
6,6,የፈንገስ ኢንፌክሽን,አረንጓዴ ሻይ ይጠጡ
7,7,የፈንገስ ኢንፌክሽን,በዚንክ የበለጸጉ ምግቦችን ይመገቡ
8,8,የፈንገስ ኢንፌክሽን,በአመጋገብ ውስጥ ቱርመርን ያካትቱ
9,9,የፈንገስ ኢንፌክሽን,አትክልትና ፍራፍሬ ይበሉ
10,10,አለርጂ,የአለርጂ ምግቦችን ያስወግዱ
11,11,አለርጂ,ፀረ-ብግነት ምግቦችን ይጠቀሙ
12,12,አለርጂ,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
13,13,አለርጂ,እርጥበት ይኑርዎት
14,14,አለርጂ,በቫይታሚን ሲ የበለፀጉ ምግቦችን ይመገቡ
15,15,አለርጂ,በ quercetin የበለጸጉ ምግቦችን ያካትቱ
16,16,አለርጂ,የሀገር ውስጥ ማር ይበሉ
17,17,አለርጂ,የተዘጋጁ ምግቦችን ይገድቡ
18,18,አለርጂ,በአመጋገብ ውስጥ ዝንጅብልን ያካትቱ
19,19,አለርጂ,ሰው ሠራሽ ተጨማሪዎችን ያስወግዱ
20,20,GERD,ትናንሽ ምግቦችን ይመገቡ
21,21,GERD,ቀስቃሽ ምግቦችን ያስወግዱ (ቅመም ፣ ቅባት)
22,22,GERD,ከፍተኛ ፋይበር የያዙ ምግቦችን ይመገቡ
23,23,GERD,ካፌይን እና አልኮል ይገድቡ
24,24,GERD,ምግብን በደንብ ያኝኩ
25,25,GERD,በምሽት ከመብላት ይቆጠቡ
26,26,GERD,የ citrus ያልሆኑ ፍራፍሬዎችን ይጠቀሙ
27,27,GERD,ደካማ ፕሮቲኖችን ያካትቱ
28,28,GERD,እርጥበት ይኑርዎት
29,29,GERD,ካርቦናዊ መጠጦችን ያስወግዱ
30,30,ሥር የሰደደ ኮሌስትሮል,ዝቅተኛ ቅባት ያለው አመጋገብ ይጠቀሙ
31,31,ሥር የሰደደ ኮሌስትሮል,ከፍተኛ ፋይበር የያዙ ምግቦችን ይመገቡ
32,32,ሥር የሰደደ ኮሌስትሮል,ጤናማ ቅባቶችን ያካትቱ
33,33,ሥር የሰደደ ኮሌስትሮል,አልኮል መጠጣትን ይገድቡ
34,34,ሥር የሰደደ ኮሌስትሮል,እርጥበት ይኑርዎት
35,35,ሥር የሰደደ ኮሌስትሮል,በAntioxidant የበለጸጉ ምግቦችን ይጠቀሙ
36,36,ሥር የሰደደ ኮሌስትሮል,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
37,37,ሥር የሰደደ ኮሌስትሮል,ደካማ ፕሮቲኖችን ያካትቱ
38,38,ሥር የሰደደ ኮሌስትሮል,የተዘጋጁ ምግቦችን ይገድቡ
39,39,ሥር የሰደደ ኮሌስትሮል,የተጠበሱ ምግቦችን ያስወግዱ
40,40,የመድሃኒት ምላሽ,የሚያስከፋ መድሃኒት አቋርጥ
41,41,የመድሃኒት ምላሽ,እርጥበት ይኑርዎት
42,42,የመድሃኒት ምላሽ,ፀረ-ብግነት ምግቦችን ያካትቱ
43,43,የመድሃኒት ምላሽ,ፀረ-ንጥረ-ምግቦችን ይጠቀሙ
44,44,የመድሃኒት ምላሽ,ቀስቃሽ ምግቦችን ያስወግዱ
45,45,የመድሃኒት ምላሽ,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
46,46,የመድሃኒት ምላሽ,ካፌይን እና አልኮል ይገድቡ
47,47,የመድሃኒት ምላሽ,እርጥበት ይኑርዎት
48,48,የመድሃኒት ምላሽ,የተመጣጠነ ምግብ ይብሉ
49,49,የመድሃኒት ምላሽ,የጤና እንክብካቤ ባለሙያ ያማክሩ
50,50,Peptic ulcer disease,ትንሽ ፣ ብዙ ተደጋጋሚ ምግቦችን ይጠቀሙ
51,51,Peptic ulcer disease,"ቀስቃሽ ምግቦችን ያስወግዱ (spicy, acidic)"
52,52,Peptic ulcer disease,ከፍተኛ ፋይበር ያላቸውን ምግቦች ያካትቱ
53,53,Peptic ulcer disease,ካፌይን እና አልኮል ይገድቡ
54,54,Peptic ulcer disease,እርጥበት ይኑርዎት
55,55,Peptic ulcer disease,ፕሮባዮቲኮችን ይጠቀሙ
56,56,Peptic ulcer disease,ደካማ ፕሮቲኖችን ያካትቱ
57,57,Peptic ulcer disease,በAntioxidant የበለጸጉ ምግቦችን ያካትቱ
58,58,Peptic ulcer disease,የተዘጋጁ ምግቦችን ይገድቡ
59,59,Peptic ulcer disease,ማጨስን እና አልኮልን ያስወግዱ
60,60,AIDS,የተመጣጠነ እና የተመጣጠነ ምግብን ይከተሉ
61,61,AIDS,ደካማ ፕሮቲኖችን ያካትቱ
62,62,AIDS,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
63,63,AIDS,እርጥበት ይኑርዎት
64,64,AIDS,ጤናማ ቅባቶችን ያካትቱ
65,65,AIDS,ጥሬ ወይም ያልበሰሉ ምግቦችን ያስወግዱ
66,66,AIDS,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
67,67,AIDS,በሽታ የመከላከል አቅምን የሚጨምሩ ምግቦችን ይጠቀሙ
68,68,AIDS,የታዘዙ ተጨማሪ መድሃኒቶችን ይውሰዱ
69,69,AIDS,የጤና እንክብካቤ ባለሙያ ያማክሩ
70,70,የስኳር በሽታ,የካርቦሃይድሬት አመጋገብን ይቆጣጠሩ
71,71,የስኳር በሽታ,ሚዛናዊ ምግቦችን ይመገቡ
72,72,የስኳር በሽታ,ደካማ ፕሮቲኖችን ያካትቱ
73,73,የስኳር በሽታ,ከፍተኛ ፋይበር ያላቸውን ምግቦች ይጠቀሙ
74,74,የስኳር በሽታ,እርጥበት ይኑርዎት
75,75,የስኳር በሽታ,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
76,76,የስኳር በሽታ,ጤናማ ቅባቶችን ያካትቱ
77,77,የስኳር በሽታ,የደም ስኳር መጠን ይቆጣጠሩ
78,78,የስኳር በሽታ,የተመዘገበ የአመጋገብ ባለሙያ ያማክሩ
79,79,የስኳር በሽታ,እንደ መመሪያው የታዘዙ መድሃኒቶችን ይውሰዱ
80,80,የጨጓራ እጢ (gastroenteritis).,እርጥበት ይኑርዎት
81,81,የጨጓራ እጢ (gastroenteritis).,ንጹህ ፈሳሾችን ይጠቀሙ
82,82,የጨጓራ እጢ (gastroenteritis).,የ BRAT አመጋገብን ይከተሉ (ሙዝ ፣ ሩዝ ፣ ፖም ሾርባ ፣ ቶስት)
83,83,የጨጓራ እጢ (gastroenteritis).,ጣፋጭ ምግቦችን ያካትቱ
84,84,የጨጓራ እጢ (gastroenteritis).,ቅባት እና ቅባት የበዛባቸው ምግቦችን ያስወግዱ
85,85,የጨጓራ እጢ (gastroenteritis).,ካፌይን እና አልኮል ይገድቡ
86,86,የጨጓራ እጢ (gastroenteritis).,ቅመም የበዛባቸውን ምግቦች ያስወግዱ
87,87,የጨጓራ እጢ (gastroenteritis).,የጤና እንክብካቤ ባለሙያ ያማክሩ
88,88,የጨጓራ እጢ (gastroenteritis).,ቀስ በቀስ ጠንካራ ምግቦችን እንደገና ማስተዋወቅ
89,89,የጨጓራ እጢ (gastroenteritis).,የወተት ተዋጽኦዎችን ያስወግዱ
90,90,ብሮንካይያል አስም,ፀረ-ብግነት ምግቦችን ያካትቱ
91,91,ብሮንካይያል አስም,ኦሜጋ -3 ቅባት አሲዶችን ይጠቀሙ
