Disease,Description
የፈንገስ ኢንፌክሽን,የፈንገስ በሽታዎች በፈንገስ የሚመጣ የተለመደ የቆዳ በሽታ ነው።
አለርጂ,እይታ በአከባቢው ውስጥ ላለው ንጥረ ነገር የበሽታ መከላከል ስርዓት ምላሽ ነው።
GERD,GERD (Gastroesophageal Reflux Disease) በታችኛው የኢሶፈገስ ቧንቧ ላይ ተፅዕኖ ያለው የምግብ መፈጨት ችግር ነው።
ሥር የሰደደ ኮሌስትሮል,ሥር ሰደር ኮሌስትሮል ለረጅም ጊዜ ከጉበት የሚፈሰው ይዛወር የሚቀንስበት ሁኔታ ነው።
የመድሃኒት ምላሽ,የመድሃኒት ምላሽ የሚከሰተው ሰውነት ለአንድ መድሃኒት አሉታዊ ምላሽ ሲሰጥ ነው.
Peptic ulcer disease,የፔፕቲክ አልሰር በሽታ በጨጓራ እና በትናንሽ አንጀት ውስጠኛው ክፍል ላይ የሚመጡ ቁስሎችን ያጠቃልላል።
AIDS,ኤድስ (Acquired Immunodeficiency Syndrome) በኤችአይቪ የሚመጣ በሽታ የመከላከል አቅምን የሚያዳክም በሽታ ነው።
የስኳር በሽታ,በሽታ በሽታ ሥር የሰደደ በሽታ ሲሆን ይህም በሰውነት ውስጥ ያለውን የስኳር ሂደትን የሚጎዳ ነው.
የጨጓራ እጢ (gastroenteritis).,የፊት እጢ (gastroenteritis). የሆድ እና አንጀት እብጠት ነው ፣ በተለይም በቫይረስ ወይም በባክቴሪያ የሚከሰት።
ብሮንካይያል አስም,ብሮንካይያል አስም በመተንፈሻ ቱቦ ውስጥ በሚከሰት እብጠት የሚታወቅ የመተንፈሻ አካል ነው።
የደም ግፊት,የደም ግፊት፣ ወይም ከፍተኛ የደም ግፊት፣ የተለመደ የልብና የደም ዝውውር ችግር ነው።
ማይግሬን,ማይግሬን የራስ ምታት አይነት ሲሆን ብዙ ጊዜ ከባድ ህመም እና ለብርሃን እና ድምጽ የመጋለጥ ስሜትን ይጨምራል።
የማኅጸን ጫፍ ስፖንዶሎሲስ,የማኅጸን ጫፍ ስፖንዶሎሲስ የማኅጸን አከርካሪ አጥንት መበላሸት ነው።
ሽባ (የአንጎል ደም መፍሰስ),ሽባ (የአንጎል ደም መፍሰስ) በአንጎል ውስጥ ደም በመፍሰሱ ምክንያት የጡንቻ ሥራን ማጣትን ያመለክታል.
አገርጥቶትና,አገርክቶትና የቆዳ እና የዓይን ቢጫ ቀለም ሲሆን ይህም ብዙውን ጊዜ የጉበት ችግሮችን ያሳያል.
ወባ,ወባ በወባ ትንኝ የሚተላለፍ ተላላፊ በሽታ በሰዎች እና በሌሎች እንስሳት ላይ ጉዳት ያደርሳል።
የዶሮ ፐክስ,የዶሮ ኬከስ በጣም ተላላፊ የሆነ የቫይረስ ኢንፌክሽን ሲሆን ማሳከክን ያስከትላል።
ዴንጊ,ዴንጊ በወባ ትንኝ የሚተላለፍ የቫይረስ ኢንፌክሽን ሲሆን የጉንፋን መሰል ምልክቶችን ያስከትላል።
ታይፎይድ,ታይፎይድ ከፍተኛ ትኩሳት እና የጨጓራና ትራክት ምልክቶችን ሊያስከትል የሚችል የባክቴሪያ ኢንፌክሽን ነው።
ሄፓታይተስ ኤ,ሄፓታይተስ ኤ የቫይረስ የጉበት በሽታ ነው።
ሄፓታይተስ ቢ,ፈፓታይተስ ቢ ጉበትን የሚያጠቃ የቫይረስ ኢንፌክሽን ነው።
ሄፓታይተስ ሲ,ሄፓታይተስ ሲ የጉበት እብጠት የሚያመጣ የቫይረስ ኢንፌክሽን ነው።
ሄፓታይተስ ዲ,ሄፓታይተስ ዲ በሄፐታይተስ ዲ ቫይረስ የሚከሰት ከባድ የጉበት በሽታ ነው።
ሄፓታይተስ ኢ,ሄፓታይተስ ኢ የጉበት እብጠትን የሚያመጣ የቫይረስ ኢንፌክሽን ነው።
የአልኮል ሄፓታይተስ,ሃሎፓታይተስ በአልኮል መጠጥ ምክንያት የጉበት እብጠት ነው።
የሳንባ ነቀርሳ በሽታ,የሳንባ ነቀርሳ በሽታ በዋነኝነት ሳንባዎችን የሚያጠቃ የባክቴሪያ ኢንፌክሽን ነው።
የጋራ ቅዝቃዜ,የጋራ አቋም የላይኛው የመተንፈሻ አካላት የቫይረስ ኢንፌክሽን ነው።
የሳንባ ምች,የሳምባ ምች በሳንባዎች ውስጥ የአየር ከረጢቶችን የሚጎዳ እብጠት ሁኔታ ነው።
ዲሞርፊክ ሄሞሮይድስ (ክምር),ዲሞርፊቅ ሄሞሮይድስ (ክምር) በፊንጢጣ ውስጥ ባሉ የደም ስሮች ያበጠ ባሕርይ ነው።
የልብ ድካም,የልብ ድካም የልብ ጡንቻ የደም ዝውውር ድንገተኛ እና ከባድ ቅነሳ ነው።
የ varicose ደም መላሽ ቧንቧዎች,የ varicose ደም መላሽ ሐዲድ ይሰፋል፣ ጠማማ ደም መላሽ ቧንቧዎች ብዙውን ጊዜ በእግሮች ላይ ይታያሉ።
ሃይፖታይሮዲዝም,ሃይፖታይሮዲዝም የታይሮይድ እጢ በቂ የታይሮይድ ሆርሞኖችን የማያመርትበት ሁኔታ ነው።
ሃይፐርታይሮዲዝም,ሃይታይሮዲዝም የታይሮይድ እጢ ብዙ የታይሮይድ ሆርሞኖችን የሚያመርትበት ሁኔታ ነው።
ሃይፖግላይሴሚያ,ሃይፖግላይሴሚያ በደም ውስጥ ያለው የስኳር መጠን ባልተለመደ ሁኔታ የሚታወቅ በሽታ ነው።
የአርትሮሲስ በሽታ,የአርትሮሲስ በሽታ is a degenerative joint disease that affects the cartilage in joints.
አርትራይተስ,አርትራይተስ አንድ ወይም ከዚያ በላይ የመገጣጠሚያዎች እብጠት ሲሆን ህመም እና ጥንካሬን ያስከትላል።
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo በልዩ የጭንቅላት እንቅስቃሴዎች የሚፈጠር የመፍጨት አይነት ነው።
ብጉር,ብጉር የፀጉር መርገፍ በዘይትና በሟች የቆዳ ህዋሶች ሲደፈን የሚከሰት የቆዳ በሽታ ነው።
የሽንት ቧንቧ ኢንፌክሽን,የሽንት ሕመም በማንኛውም የሽንት ሥርዓት ውስጥ የሚከሰት ኢንፌክሽን ነው።
Psoriasis,Psoriasis በቀይ፣ በማሳከክ እና በጠፍጣፋ ቅርፊቶች የሚታወቅ ሥር የሰደደ የቆዳ በሽታ ነው።
ኢምፔቲጎ,ኢም ማማቲጎ በጣም ተላላፊ የቆዳ ኢንፌክሽን ሲሆን ቀይ ቁስሎችን ሊሰበር ይችላል።
