Disease,Diet
የፈንገስ ኢንፌክሽን,['አንቲ ፈንገስ አመጋገብ'፣ 'ፕሮቢዮቲክስ'፣ 'ነጭ ሽንኩርት'፣ 'የኮኮናት ዘይት'፣ 'ቱርሜሪክ']
አለርጂ,['Elimination Diet'፣ 'Omega-3-የበለፀጉ ምግቦች'፣ 'ቫይታሚን ሲ የበለፀጉ ምግቦች'፣ 'Quercetin-የበለፀጉ ምግቦች'፣ 'ፕሮቢዮቲክስ']
GERD,['ዝቅተኛ አሲድ አመጋገብ'፣ 'ፋይበር የበለጸጉ ምግቦች'፣ 'ዝንጅብል'፣ 'ሊኮርስ'፣ 'የአልዎ ቬራ ጭማቂ']
ሥር የሰደደ ኮሌስትሮል,['ዝቅተኛ ስብ አመጋገብ'፣ 'ከፍተኛ-ፋይበር አመጋገብ'፣ 'ጥቂት ፕሮቲኖች'፣ 'ሙሉ እህል'፣ 'ትኩስ ፍራፍሬዎችና አትክልቶች']
የመድሃኒት ምላሽ, ['አንቲሂስታሚን አመጋገብ'፣ 'ኦሜጋ-3 የበለጸጉ ምግቦች'፣ 'ቫይታሚን ሲ የበለፀጉ ምግቦች'፣ 'Quercetin-የበለፀጉ ምግቦች'፣ 'ፕሮባዮቲክስ']
Peptic ulcer disease,['ዝቅተኛ አሲድ አመጋገብ'፣ 'ፋይበር የበለጸጉ ምግቦች'፣ 'ዝንጅብል'፣ 'ሊኮርስ'፣ 'የአልዎ ቬራ ጭማቂ']
AIDS,['የተመጣጠነ አመጋገብ'፣ 'በፕሮቲን የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጤናማ ቅባቶች']
የስኳር በሽታ,['ዝቅተኛ-ግሊሰሚክ አመጋገብ'፣ 'በፋይበር የበለጸጉ ምግቦች'፣ 'ጥቂት ፕሮቲኖች'፣ 'ጤናማ ቅባቶች'፣ 'ዝቅተኛ ቅባት ያለው ወተት']
የጨጓራ እጢ (gastroenteritis).,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']"
ብሮንካይያል አስም,['የፀረ-እብጠት አመጋገብ'፣ 'ኦሜጋ-3 የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጥቂት ፕሮቲኖች']
የደም ግፊት,['DASH አመጋገብ'፣ 'ዝቅተኛ-ሶዲየም ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጥቂት ፕሮቲኖች']
ማይግሬን, ['ማይግሬን አመጋገብ'፣ 'ዝቅተኛ-ታይራሚን አመጋገብ'፣ 'ካፌይን መውጣት'፣ 'ሃይድሬሽን'፣ 'ማግኒዥየም የበለጸጉ ምግቦች']
የማኅጸን ጫፍ ስፖንዶሎሲስ, ['አርትራይተስ አመጋገብ'፣ 'ፀረ-እብጠት አመጋገብ'፣ 'ኦሜጋ-3 የበለጸጉ ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች']
ሽባ (የአንጎል ደም መፍሰስ),['ልብ-ጤናማ አመጋገብ'፣ 'ዝቅተኛ-ሶዲየም ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጥቂት ፕሮቲኖች']
አገርጥቶትና,['ልብ-ጤናማ አመጋገብ'፣ 'ዝቅተኛ-ሶዲየም ምግቦች'፣ 'ፍራፍሬዎችና አትክልቶች'፣ 'ሙሉ እህሎች'፣ 'ጥቂት ፕሮቲኖች']
